iter	Passed	Remaining
0	31	94800
1	60	91331
2	70	70818
3	81	61170
4	99	59508
5	131	65833
6	138	59395
7	153	57358
8	162	53948
9	172	51452
10	194	52969
11	212	53006
12	222	51011
13	231	49280
14	239	47739
15	250	46643
16	259	45592
17	268	44517
18	276	43436
19	287	42811
20	299	42424
21	307	41684
22	315	40793
23	325	40351
24	338	40244
25	351	40227
26	361	39766
27	369	39247
28	378	38761
29	386	38274
30	397	38077
31	406	37677
32	415	37329
33	424	36997
34	432	36600
35	440	36278
36	454	36416
37	465	36258
38	475	36067
39	484	35832
40	492	35563
41	516	36347
42	529	36430
43	539	36238
44	548	36025
45	560	35980
46	571	35904
47	630	38770
48	648	39042
49	690	40713
50	706	40873
51	715	40549
52	724	40275
53	732	39977
54	754	40415
55	766	40311
56	775	40036
57	784	39806
58	793	39567
59	803	39371
60	812	39153
61	820	38874
62	828	38642
63	839	38493
64	852	38515
65	867	38569
66	897	39279
67	913	39379
68	922	39203
69	931	38991
70	942	38883
71	951	38703
72	960	38505
73	969	38341
74	980	38236
75	994	38276
76	1008	38276
77	1017	38111
78	1030	38090
79	1040	37962
80	1048	37789
81	1060	37733
82	1078	37895
83	1087	37736
84	1102	37796
85	1117	37860
86	1126	37715
87	1137	37637
88	1147	37543
89	1157	37426
90	1185	37901
91	1206	38150
92	1223	38252
93	1232	38091
94	1246	38117
95	1256	37999
96	1268	37949
97	1293	38304
98	1303	38210
99	1322	38357
100	1332	38247
101	1343	38157
102	1368	38494
103	1383	38530
104	1395	38481
105	1413	38595
106	1422	38448
107	1448	38799
108	1467	38916
109	1482	38939
110	1491	38813
111	1499	38667
112	1507	38525
113	1516	38395
114	1524	38249
115	1538	38257
116	1560	38451
117	1575	38485
118	1584	38357
119	1599	38379
120	1635	38923
121	1694	39973
122	1709	39979
123	1720	39894
124	1729	39768
125	1738	39652
126	1847	41785
127	1888	42374
128	1943	43258
129	1952	43109
130	1962	42975
131	1973	42871
132	1995	43007
133	2007	42944
134	2016	42801
135	2032	42795
136	2041	42660
137	2053	42580
138	2068	42573
139	2082	42538
140	2108	42753
141	2121	42708
142	2165	43260
143	2181	43274
144	2196	43257
145	2254	44061
146	2262	43916
147	2314	44605
148	2332	44634
149	2342	44508
150	2352	44385
151	2361	44239
152	2383	44352
153	2393	44237
154	2403	44112
155	2426	44243
156	2441	44215
157	2460	44252
158	2473	44193
159	2481	44054
160	2490	43914
161	2498	43777
162	2511	43705
163	2524	43653
164	2538	43615
165	2548	43513
166	2569	43581
167	2584	43559
168	2610	43727
169	2622	43661
170	2635	43601
171	2657	43692
172	2670	43646
173	2685	43610
174	2730	44073
175	2744	44036
176	2789	44495
177	2818	44691
178	2829	44588
179	2838	44466
180	2848	44362
181	2856	44230
182	2865	44108
183	2874	43991
184	2883	43877
185	2892	43768
186	2903	43670
187	2913	43571
188	2922	43459
189	2941	43508
190	2954	43452
191	2969	43428
192	2981	43362
193	3001	43412
