Column Name,Data Type
DT_INGESTION_TIMESTAMP,object
DT_INGESTION_DATE,object
CD_DATA_OWNER_LOGICAL_REGION_CODE,object
GN_SYSTEM_ORDER_GUID,object
CD_COMMERCIAL_ORDER_CODE,object
DT_COMMERCIAL_ORDER_CURRENT_ENTRY_DATE,object
FL_IS_FIRST_ORDER_INGESTION_FLAG,int64
FL_IS_ORDER_ACTIVE_FLAG,int64
CD_VEHICLE_ORDER_CARFLOW_STATUS_CODE,float64
GN_BRAND_ORIGINAL_NAME,object
CD_BRAND_CODE,object
CD_VEHICLE_TYPE_HOMOLOGATION_CODE,object
CD_VEHICLE_TYPE_HOMOLOGATION_ORIGINAL_CODE,object
CD_VEHICLE_CAR_LINE_CODE,object
CD_MODEL_CODE,object
CD_VEHICLE_PRODUCT_LINE_CODE,object
CD_VEHICLE_COMMERCIAL_FAMILY_ORIGIN_CODE,object
CD_VEHICLE_VERSION_CODE,object
GN_VEHICLE_COMPLETE_DESCRIPTION_NAME,object
CD_REGION_CODE,object
CD_SALES_REGION_CODE,object
CD_MARKET_CODE,object
CD_PROGRAMMING_MARKET_CODE,object
CD_PLANT_LOGISTIC_CODE,object
GN_VEHICLE_CAR_LINE_NAME,object
GN_OPERATIONAL_PLANNING_SALES_CHANNEL_GUID,object
CD_OPERATIONAL_PLANNING_SALES_CHANNEL_ORIGINAL_CODE,object
GN_OPERATIONAL_PLANNING_SALES_CHANNEL_ORIGINAL_NAME,object
GN_OPERATIONAL_PLANNING_SALES_CHANNEL_NAME,object
GN_OPERATIONAL_PLANNING_SALES_SUBCHANNEL_GUID,object
CD_OPERATIONAL_PLANNING_SALES_SUBCHANNEL_ORIGINAL_CODE,object
GN_OPERATIONAL_PLANNING_SALES_SUBCHANNEL_ORIGINAL_NAME,object
CD_NETWORK_SUBJECT_ORDER_CODE,object
CD_NETWORK_SUBJECT_CODE,object
CD_FINAL_CUSTOMER_ORDER_CODE,object
CD_VIN_CODE,object
CD_VIS_CODE,object
CD_FACTORY_ORDER_CODE,object
CD_SHIPPING_ORDER_TO_NSC_COMPOUND_CODE,object
CD_SHIPPING_ORDER_TO_DEALER_CODE,object
DT_DEALER_CALL_OFF_DATE,object
DT_SHIPPING_ORDER_TO_DEALER_DATE,object
DT_NETWORK_SUBJECT_DELIVERY_NOTE_DATE,object
FL_IS_NEW_VEHICLE_ORDER_DAMAGED_FLAG,int64
FL_IS_NEW_VEHICLE_ORDER_IN_NETWORK_FLAG,int64
FL_IS_NEW_VEHICLE_ORDER_IN_TRANSPORT_TO_DEALER_FLAG,int64
FL_IS_NEW_VEHICLE_ORDER_PRODUCED_FLAG,int64
FL_IS_NEW_VEHICLE_ORDER_STORED_FLAG,int64
DT_SHIPPING_ORDER2_CREATION_DATE,object
GN_NETWORK_SUBJECT_NAME,object
GN_SALES_INVOICE_NUMBER,object
